"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_propietari","Nombre"
2010,1,"Ciutat Vella",1,"el Raval","Persona física. Nacionalitat  espanyola",15024
2010,1,"Ciutat Vella",2,"el Barri Gòtic","Persona física. Nacionalitat  espanyola",6587
2010,1,"Ciutat Vella",3,"la Barceloneta","Persona física. Nacionalitat  espanyola",7074
2010,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Persona física. Nacionalitat  espanyola",9564
2010,2,"Eixample",5,"el Fort Pienc","Persona física. Nacionalitat  espanyola",11761
2010,2,"Eixample",6,"la Sagrada Família","Persona física. Nacionalitat  espanyola",22412
2010,2,"Eixample",7,"la Dreta de l'Eixample","Persona física. Nacionalitat  espanyola",17981
2010,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",18488
2010,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Persona física. Nacionalitat  espanyola",24553
2010,2,"Eixample",10,"Sant Antoni","Persona física. Nacionalitat  espanyola",16231
2010,3,"Sants-Montjuïc",11,"el Poble Sec","Persona física. Nacionalitat  espanyola",15456
2010,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Persona física. Nacionalitat  espanyola",502
2010,3,"Sants-Montjuïc",13,"la Marina de Port","Persona física. Nacionalitat  espanyola",11083
2010,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Persona física. Nacionalitat  espanyola",4223
2010,3,"Sants-Montjuïc",15,"Hostafrancs","Persona física. Nacionalitat  espanyola",6571
2010,3,"Sants-Montjuïc",16,"la Bordeta","Persona física. Nacionalitat  espanyola",7463
2010,3,"Sants-Montjuïc",17,"Sants - Badal","Persona física. Nacionalitat  espanyola",10192
2010,3,"Sants-Montjuïc",18,"Sants","Persona física. Nacionalitat  espanyola",17648
2010,4,"Les Corts",19,"les Corts","Persona física. Nacionalitat  espanyola",19176
2010,4,"Les Corts",20,"la Maternitat i Sant Ramon","Persona física. Nacionalitat  espanyola",9743
2010,4,"Les Corts",21,"Pedralbes","Persona física. Nacionalitat  espanyola",4173
2010,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Persona física. Nacionalitat  espanyola",2662
2010,5,"Sarrià-Sant Gervasi",23,"Sarrià","Persona física. Nacionalitat  espanyola",9991
2010,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Persona física. Nacionalitat  espanyola",5323
2010,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Persona física. Nacionalitat  espanyola",9151
2010,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Persona física. Nacionalitat  espanyola",18956
2010,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Persona física. Nacionalitat  espanyola",12548
2010,6,"Gràcia",28,"Vallcarca i els Penitents","Persona física. Nacionalitat  espanyola",7132
2010,6,"Gràcia",29,"el Coll","Persona física. Nacionalitat  espanyola",3323
2010,6,"Gràcia",30,"la Salut","Persona física. Nacionalitat  espanyola",5794
2010,6,"Gràcia",31,"la Vila de Gràcia","Persona física. Nacionalitat  espanyola",24412
2010,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Persona física. Nacionalitat  espanyola",15226
2010,7,"Horta-Guinardó",33,"el Baix Guinardó","Persona física. Nacionalitat  espanyola",10634
2010,7,"Horta-Guinardó",34,"Can Baró","Persona física. Nacionalitat  espanyola",4199
2010,7,"Horta-Guinardó",35,"el Guinardó","Persona física. Nacionalitat  espanyola",15742
2010,7,"Horta-Guinardó",36,"la Font d'en Fargues","Persona física. Nacionalitat  espanyola",4737
2010,7,"Horta-Guinardó",37,"el Carmel","Persona física. Nacionalitat  espanyola",13707
2010,7,"Horta-Guinardó",38,"la Teixonera","Persona física. Nacionalitat  espanyola",5033
2010,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Persona física. Nacionalitat  espanyola",2797
2010,7,"Horta-Guinardó",40,"Montbau","Persona física. Nacionalitat  espanyola",2452
2010,7,"Horta-Guinardó",41,"la Vall d'Hebron","Persona física. Nacionalitat  espanyola",2853
2010,7,"Horta-Guinardó",42,"la Clota","Persona física. Nacionalitat  espanyola",276
2010,7,"Horta-Guinardó",43,"Horta","Persona física. Nacionalitat  espanyola",12067
2010,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Persona física. Nacionalitat  espanyola",10893
2010,8,"Nou Barris",45,"Porta","Persona física. Nacionalitat  espanyola",9566
2010,8,"Nou Barris",46,"el Turó de la Peira","Persona física. Nacionalitat  espanyola",5171
2010,8,"Nou Barris",47,"Can Peguera","Persona física. Nacionalitat  espanyola",102
2010,8,"Nou Barris",48,"la Guineueta","Persona física. Nacionalitat  espanyola",5840
2010,8,"Nou Barris",49,"Canyelles","Persona física. Nacionalitat  espanyola",2659
2010,8,"Nou Barris",50,"les Roquetes","Persona física. Nacionalitat  espanyola",6129
2010,8,"Nou Barris",51,"Verdun","Persona física. Nacionalitat  espanyola",5223
2010,8,"Nou Barris",52,"la Prosperitat","Persona física. Nacionalitat  espanyola",11109
2010,8,"Nou Barris",53,"la Trinitat Nova","Persona física. Nacionalitat  espanyola",3030
