Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_tipus_propietari,Concepte,Nombre
2019,1,Ciutat Vella,1,el Raval,1,Persona Física - Espanyola,Superfície_m2,26904
2019,1,Ciutat Vella,1,el Raval,1,Persona Física - Estrangera,Superfície_m2,5632
2019,1,Ciutat Vella,1,el Raval,1,Societats anònimes,Superfície_m2,1570
2019,1,Ciutat Vella,1,el Raval,1,Societats responsabilitat limitada,Superfície_m2,12003
2019,1,Ciutat Vella,1,el Raval,1,Entitats estrangeres,Superfície_m2,57
2019,1,Ciutat Vella,1,el Raval,1,Corporacions locals,Superfície_m2,1409
2019,1,Ciutat Vella,1,el Raval,1,Organismes públics,Superfície_m2,14548
2019,1,Ciutat Vella,1,el Raval,1,Congregacions i institucions religioses,Superfície_m2,248
2019,1,Ciutat Vella,1,el Raval,1,Òrgans de l'Administració de l'Estat i comunitats autònomes,Superfície_m2,69
2019,1,Ciutat Vella,1,el Raval,1,No consta,Superfície_m2,447
2019,1,Ciutat Vella,1,el Raval,2,Persona Física - Espanyola,Superfície_m2,27010
2019,1,Ciutat Vella,1,el Raval,2,Persona Física - Estrangera,Superfície_m2,3459
2019,1,Ciutat Vella,1,el Raval,2,Societats anònimes,Superfície_m2,1011
2019,1,Ciutat Vella,1,el Raval,2,Societats responsabilitat limitada,Superfície_m2,9022
2019,1,Ciutat Vella,1,el Raval,2,Comunitats de béns,Superfície_m2,7
2019,1,Ciutat Vella,1,el Raval,2,Associacions,Superfície_m2,560
2019,1,Ciutat Vella,1,el Raval,2,Entitats estrangeres,Superfície_m2,968
2019,1,Ciutat Vella,1,el Raval,2,Corporacions locals,Superfície_m2,6380
2019,1,Ciutat Vella,1,el Raval,2,Organismes públics,Superfície_m2,1512
2019,1,Ciutat Vella,1,el Raval,2,No consta,Superfície_m2,187
2019,1,Ciutat Vella,1,el Raval,3,Persona Física - Espanyola,Superfície_m2,48629
2019,1,Ciutat Vella,1,el Raval,3,Persona Física - Estrangera,Superfície_m2,7748
2019,1,Ciutat Vella,1,el Raval,3,Societats anònimes,Superfície_m2,3486
2019,1,Ciutat Vella,1,el Raval,3,Societats responsabilitat limitada,Superfície_m2,7506
2019,1,Ciutat Vella,1,el Raval,3,Comunitats de béns,Superfície_m2,85
2019,1,Ciutat Vella,1,el Raval,3,Associacions,Superfície_m2,51
2019,1,Ciutat Vella,1,el Raval,3,Corporacions locals,Superfície_m2,270
2019,1,Ciutat Vella,1,el Raval,3,Organismes públics,Superfície_m2,8520
2019,1,Ciutat Vella,1,el Raval,3,Congregacions i institucions religioses,Superfície_m2,339
2019,1,Ciutat Vella,1,el Raval,3,Altres tipus no definits,Superfície_m2,157
2019,1,Ciutat Vella,1,el Raval,3,No consta,Superfície_m2,1748
2019,1,Ciutat Vella,1,el Raval,4,Persona Física - Espanyola,Superfície_m2,49796
2019,1,Ciutat Vella,1,el Raval,4,Persona Física - Estrangera,Superfície_m2,6419
2019,1,Ciutat Vella,1,el Raval,4,Societats anònimes,Superfície_m2,4696
2019,1,Ciutat Vella,1,el Raval,4,Societats responsabilitat limitada,Superfície_m2,18957
2019,1,Ciutat Vella,1,el Raval,4,Associacions,Superfície_m2,276
2019,1,Ciutat Vella,1,el Raval,4,Comunitats de propietaris en règim de propietat horitzontal,Superfície_m2,32
2019,1,Ciutat Vella,1,el Raval,4,Corporacions locals,Superfície_m2,3800
2019,1,Ciutat Vella,1,el Raval,4,Organismes públics,Superfície_m2,4259
2019,1,Ciutat Vella,1,el Raval,4,Òrgans de l'Administració de l'Estat i comunitats autònomes,Superfície_m2,6418
2019,1,Ciutat Vella,1,el Raval,4,No consta,Superfície_m2,685
2019,1,Ciutat Vella,1,el Raval,5,Persona Física - Espanyola,Superfície_m2,44698
2019,1,Ciutat Vella,1,el Raval,5,Persona Física - Estrangera,Superfície_m2,8054
2019,1,Ciutat Vella,1,el Raval,5,Societats anònimes,Superfície_m2,2791
2019,1,Ciutat Vella,1,el Raval,5,Societats responsabilitat limitada,Superfície_m2,12261
2019,1,Ciutat Vella,1,el Raval,5,Comunitats de béns,Superfície_m2,1670
2019,1,Ciutat Vella,1,el Raval,5,Societats cooperatives,Superfície_m2,77
2019,1,Ciutat Vella,1,el Raval,5,Associacions,Superfície_m2,6695
2019,1,Ciutat Vella,1,el Raval,5,Comunitats de propietaris en règim de propietat horitzontal,Superfície_m2,10
2019,1,Ciutat Vella,1,el Raval,5,Corporacions locals,Superfície_m2,3675
2019,1,Ciutat Vella,1,el Raval,5,Organismes públics,Superfície_m2,11256
2019,1,Ciutat Vella,1,el Raval,5,Congregacions i institucions religioses,Superfície_m2,232
2019,1,Ciutat Vella,1,el Raval,5,No consta,Superfície_m2,5456
2019,1,Ciutat Vella,1,el Raval,6,Persona Física - Espanyola,Superfície_m2,35374
2019,1,Ciutat Vella,1,el Raval,6,Persona Física - Estrangera,Superfície_m2,6404
2019,1,Ciutat Vella,1,el Raval,6,Societats anònimes,Superfície_m2,4299
2019,1,Ciutat Vella,1,el Raval,6,Societats responsabilitat limitada,Superfície_m2,13221
2019,1,Ciutat Vella,1,el Raval,6,Comunitats de béns,Superfície_m2,542
2019,1,Ciutat Vella,1,el Raval,6,Associacions,Superfície_m2,149
2019,1,Ciutat Vella,1,el Raval,6,Entitats estrangeres,Superfície_m2,1702
2019,1,Ciutat Vella,1,el Raval,6,Corporacions locals,Superfície_m2,6928
2019,1,Ciutat Vella,1,el Raval,6,Congregacions i institucions religioses,Superfície_m2,237
2019,1,Ciutat Vella,1,el Raval,6,Òrgans de l'Administració de l'Estat i comunitats autònomes,Superfície_m2,42
2019,1,Ciutat Vella,1,el Raval,6,Altres tipus no definits,Superfície_m2,78
2019,1,Ciutat Vella,1,el Raval,6,No consta,Superfície_m2,2013
