ter_nom,c_barri,ter_nivell,dat_data,val_valor
Montbau,40,Barri,2018,865.48
el Raval  ,1,Barri,2018,1159.45
el Barri Gòtic  ,2,Barri,2018,1544.11
la Barceloneta  ,3,Barri,2018,1055.94
"Sant Pere, Santa Caterina i la Ribera",4,Barri,2018,1413.01
el Fort Pienc,5,Barri,2018,1299.07
la Sagrada Família,6,Barri,2018,1227.39
la Dreta de l'Eixample,7,Barri,2018,1988.97
l'Antiga Esquerra de l'Eixample,8,Barri,2018,1523.26
la Nova Esquerra de l'Eixample,9,Barri,2018,1412.56
Sant Antoni,10,Barri,2018,1302.22
el Poble Sec - AEI Parc Montjuïc,11,Barri,2018,1122.18
la Marina del Prat Vermell - AEI Zona Franca,12,Barri,2018,1027.64
la Marina de Port,13,Barri,2018,978.47
la Font de la Guatlla,14,Barri,2018,1188.56
Hostafrancs,15,Barri,2018,1084.64
la Bordeta,16,Barri,2018,1062.97
Sants - Badal,17,Barri,2018,991.31
Sants,18,Barri,2018,1079.14
les Corts,19,Barri,2018,1420.91
la Maternitat i Sant Ramon,20,Barri,2018,1292.25
Pedralbes,21,Barri,2018,2611.63
"Vallvidrera, el Tibidabo i les Planes",22,Barri,2018,1521.9
Sarrià,23,Barri,2018,1875.03
les Tres Torres,24,Barri,2018,2475.54
Sant Gervasi - la Bonanova,25,Barri,2018,1858.58
Sant Gervasi - Galvany,26,Barri,2018,2076.07
el Putxet i el Farró,27,Barri,2018,1316.33
Vallcarca i els Penitents,28,Barri,2018,1305.28
el Coll,29,Barri,2018,1062.72
la Salut,30,Barri,2018,1162.3
la Vila de Gràcia,31,Barri,2018,1333.76
el Camp d'en Grassot i Gràcia Nova,32,Barri,2018,1207.37
el Baix Guinardó,33,Barri,2018,1054.04
Can Baró,34,Barri,2018,971.02
el Guinardó,35,Barri,2018,993.92
la Font d'en Fargues,36,Barri,2018,1051.93
el Carmel,37,Barri,2018,816.35
la Teixonera,38,Barri,2018,909.64
Sant Genís dels Agudells,39,Barri,2018,812.13
la Vall d'Hebron,41,Barri,2018,1050.47
Horta,43,Barri,2018,939.49
Vilapicina i la Torre Llobeta,44,Barri,2018,901.87
Porta,45,Barri,2018,886.86
el Turó de la Peira,46,Barri,2018,835.32
Can Peguera,47,Barri,2018,835.32
la Guineueta,48,Barri,2018,873.38
les Roquetes,50,Barri,2018,739.48
Verdun,51,Barri,2018,835.18
la Prosperitat,52,Barri,2018,807.46
la Trinitat Nova,53,Barri,2018,705.01
Ciutat Meridiana,55,Barri,2018,707.38
la Trinitat Vella,57,Barri,2018,787.06
el Bon Pastor,59,Barri,2018,913.9
Sant Andreu,60,Barri,2018,925.95
la Sagrera,61,Barri,2018,979.7
el Congrés i els Indians,62,Barri,2018,974.9
Navas,63,Barri,2018,1013.3
el Camp de l'Arpa del Clot,64,Barri,2018,1216.06
el Clot,65,Barri,2018,1092.67
el Parc i la Llacuna del Poblenou,66,Barri,2018,1369.31
la Vila Olímpica del Poblenou,67,Barri,2018,1716.96
el Poblenou,68,Barri,2018,1429.72
Diagonal Mar i el Front Marítim del Poblenou,69,Barri,2018,2050.2
el Besòs i el Maresme,70,Barri,2018,1047.19
Provençals del Poblenou,71,Barri,2018,1332.41
Sant Martí de Provençals,72,Barri,2018,1052.31
la Verneda i la Pau,73,Barri,2018,965.29
