Census Section,Total dwellings,Occupied dwellings,Secondary or seasonal dwellings,Vacant dwellings
Total,810625,683620,38770,88235
Sección 0801901001,660,530,130*,0
Sección 0801901002,940,730,105*,105*
Sección 0801901003,1435,1235,0,205*
Sección 0801901004,1235,900,0,335
Sección 0801901005,1065,800,55*,210*
Sección 0801901006,505,505,0,0
Sección 0801901007,940,790,150*,0
Sección 0801901008,1395,1370,0,25*
Sección 0801901009,1030,820,0,210
Sección 0801901010,1170,1015,0,155*
Sección 0801901011,1295,655,55*,585
Sección 0801901012,715,590,0,130*
Sección 0801901013,545,545,0,0
Sección 0801901014,525,460,0,65*
Sección 0801901015,1225,1120,0,105*
Sección 0801901016,1285,895,190,200*
Sección 0801901017,1265,885,90*,285
Sección 0801901018,675,500,75*,100*
Sección 0801901019,1525,1240,0,285
Sección 0801901020,1130,710,25*,400
Sección 0801901021,1520,1455,0,65*
Sección 0801901022,760,665,70*,25*
Sección 0801901023,1725,1405,105*,215*
Sección 0801901025,1115,725,95*,300
Sección 0801901026,1115,1005,0,105*
Sección 0801901027,900,750,25*,130*
Sección 0801901028,1110,910,0,195*
Sección 0801901029,1060,950,25*,85*
Sección 0801901030,1150,915,0,235*
Sección 0801901031,855,620,60*,175*
Sección 0801901032,1150,995,50*,105*
Sección 0801901033,1235,750,210,270
Sección 0801901034,715,510,0,205*
Sección 0801901035,815,495,0,320
Sección 0801901036,585,585,0,0
Sección 0801901037,790,705,45*,45*
Sección 0801901038,1225,1065,70*,90*
Sección 0801901039,790,765,25*,0
Sección 0801901040,700,675,25*,0
Sección 0801901041,940,700,75*,170
Sección 0801901042,920,920,0,0
Sección 0801901043,1100,500,70*,535
Sección 0801901044,905,760,55*,95*
Sección 0801901045,1315,980,95*,240
Sección 0801901046,1425,540,195,690
Sección 0801901047,1065,970,0,90*
Sección 0801901048,965,945,20*,0
Sección 0801901049,545,545,0,0
Sección 0801901050,635,565,25*,45*
Sección 0801901051,1190,545,145*,505
Sección 0801901052,1405,1080,170*,150*
Sección 0801901053,1570,1455,0,120*
Sección 0801901054,670,650,0,25*
Sección 0801901055,850,850,0,0
Sección 0801902001,650,545,25*,80*
Sección 0801902002,690,690,0,0
Sección 0801902003,555,470,25*,60*
Sección 0801902004,695,570,125*,0
Sección 0801902005,1185,1055,75*,55*
Sección 0801902006,1005,710,205*,90*
Sección 0801902007,675,460,185*,30*
Sección 0801902008,1025,865,0,160*
Sección 0801902009,680,680,0,0
Sección 0801902010,665,425,0,240
Sección 0801902011,585,475,0,110*
Sección 0801902012,805,715,45*,45*
Sección 0801902013,785,440,0,345
Sección 0801902014,830,630,60*,140*
Sección 0801902015,650,625,0,25*
Sección 0801902016,955,695,60*,205
Sección 0801902017,990,855,70*,70*
Sección 0801902018,945,650,195*,100*
Sección 0801902019,880,880,0,0
Sección 0801902020,1010,735,125*,150*
Sección 0801902021,965,590,0,375
Sección 0801902022,785,560,140*,85*
Sección 0801902023,840,650,60*,130*
Sección 0801902024,770,585,25*,165*
Sección 0801902025,520,520,0,0
Sección 0801902026,1190,925,120*,145*
Sección 0801902027,1005,1005,0,0
Sección 0801902028,1330,1035,205*,90*
Sección 0801902029,560,510,50*,0
Sección 0801902030,845,680,45*,115*
Sección 0801902031,635,515,0,120*
Sección 0801902032,645,465,20*,165*
Sección 0801902033,665,665,0,0
Sección 0801902034,830,410,60*,360
Sección 0801902035,865,805,0,60*
Sección 0801902036,570,570,0,0
Sección 0801902037,560,475,85*,0
Sección 0801902038,1140,520,0,620
Sección 0801902039,850,830,25*,0
Sección 0801902040,830,805,0,25*
Sección 0801902041,675,610,45*,25*
Sección 0801902042,615,615,0,0
Sección 0801902043,635,635,0,0
Sección 0801902044,455,455,0,0
Sección 0801902045,505,460,0,45*
