CPRO,province,2001,2011,percent_change,proj_2012,proj_2013,proj_2014,proj_2015,proj_2016,proj_2017,proj_2018,proj_2019,proj_2020,proj_2021,pr_yr_change,,,,
1,Álava,32423,34504,6.42%,34725.46,34946.91,35168.37,35389.83,35611.28,35832.74,36054.20,36275.65,36497.11,36718.56,221.46,,,,
2,Albacete,107618,107837,0.20%,107858.94,107880.89,107902.83,107924.78,107946.72,107968.67,107990.61,108012.56,108034.50,108056.45,21.94,,,,
3,Alicante,391953,423329,8.01%,426717.77,430106.53,433495.30,436884.06,440272.83,443661.60,447050.36,450439.13,453827.90,457216.66,3388.77,,,,
4,Almería,174691,198404,13.57%,201097.19,203790.37,206483.56,209176.75,211869.93,214563.12,217256.30,219949.49,222642.68,225335.86,2693.19,,,,
33,Asturias,197314,196904,-0.21%,196863.09,196822.17,196781.26,196740.34,196699.43,196658.51,196617.60,196576.68,196535.77,196494.85,-40.91,,,,
5,Ávila,103671,106880,3.10%,107210.83,107541.67,107872.50,108203.33,108534.17,108865.00,109195.83,109526.66,109857.50,110188.33,330.83,,,,
6,Badajoz,241719,240141,-0.65%,239984.23,239827.46,239670.69,239513.92,239357.15,239200.38,239043.61,238886.84,238730.07,238573.30,-156.77,,,,
8,Barcelona,662623,649773,-1.94%,648512.92,647252.84,645992.76,644732.68,643472.60,642212.52,640952.44,639692.36,638432.28,637172.20,-1260.08,,,,
48,Bizkaia,77059,76991,-0.09%,76984.21,76977.41,76970.62,76963.82,76957.03,76950.24,76943.44,76936.65,76929.85,76923.06,-6.79,,,,
9,Burgos,105120,113227,7.71%,114100.22,114973.44,115846.67,116719.89,117593.11,118466.33,119339.56,120212.78,121086.00,121959.22,873.22,,,,
10,Cáceres,192105,182921,-4.78%,182046.51,181172.01,180297.52,179423.02,178548.53,177674.04,176799.54,175925.05,175050.56,174176.06,-874.49,,,,
11,Cádiz,234137,264933,13.15%,268417.66,271902.32,275386.98,278871.64,282356.30,285840.96,289325.61,292810.27,296294.93,299779.59,3484.66,,,,
39,Cantabria,103813,116823,12.53%,118287.04,119751.09,121215.13,122679.17,124143.22,125607.26,127071.30,128535.35,129999.39,131463.43,1464.04,,,,
12,Castellón,159628,170127,6.58%,171245.95,172364.91,173483.86,174602.81,175721.77,176840.72,177959.68,179078.63,180197.58,181316.54,1118.95,,,,
51,Ceuta,7013,7281,3.82%,7308.82,7336.65,7364.47,7392.30,7420.12,7447.94,7475.77,7503.59,7531.42,7559.24,27.82,,,,
13,Ciudad Real,171693,175269,2.08%,175634.05,175999.10,176364.14,176729.19,177094.24,177459.29,177824.34,178189.38,178554.43,178919.48,365.05,,,,
14,Córdoba,194776,204291,4.89%,205288.98,206286.96,207284.95,208282.93,209280.91,210278.89,211276.87,212274.85,213272.84,214270.82,997.98,,,,
16,Cuenca,109845,112463,2.38%,112731.04,112999.08,113267.12,113535.16,113803.20,114071.24,114339.28,114607.32,114875.36,115143.40,268.04,,,,
20,Gipuzkoa,59395,52147,-12.20%,51510.65,50874.30,50237.94,49601.59,48965.24,48328.89,47692.53,47056.18,46419.83,45783.48,-636.35,,,,
17,Girona,200019,213097,6.54%,214490.31,215883.62,217276.93,218670.24,220063.54,221456.85,222850.16,224243.47,225636.78,227030.09,1393.31,,,,
18,Granada,252325,267922,6.18%,269578.11,271234.22,272890.33,274546.44,276202.55,277858.66,279514.77,281170.88,282826.99,284483.10,1656.11,,,,
19,Guadalajara,90609,112667,24.34%,115409.78,118152.57,120895.35,123638.13,126380.92,129123.70,131866.48,134609.27,137352.05,140094.83,2742.78,,,,
21,Huelva,140868,140502,-0.26%,140465.50,140428.99,140392.49,140355.98,140319.48,140282.97,140246.47,140209.96,140173.46,140136.95,-36.50,,,,
22,Huesca,66194,65877,-0.48%,65845.45,65813.90,65782.36,65750.81,65719.26,65687.71,65656.16,65624.61,65593.07,65561.52,-31.55,,,,
7,Illes Balears,245244,255643,4.24%,256726.99,257810.99,258894.98,259978.98,261062.97,262146.97,263230.96,264314.96,265398.95,266482.95,1083.99,,,,
