Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,NumberOwned_Spanish,NumberOwned_Foreign,NumberOwned_State,Not Applicable,Total,,
2009,1,Ciutat Vella,1,el Raval,18725,1837,10370,1532,32464,,
2009,1,Ciutat Vella,2,el Barri G√≤tic,8865,458,7018,914,17255,,
2009,1,Ciutat Vella,3,la Barceloneta,8100,271,2749,507,11627,,
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",11782,657,6061,1551,20051,,
2009,2,Eixample,5,el Fort Pienc,18616,267,5161,1451,25495,,
2009,2,Eixample,6,la Sagrada Fam√≠lia,34263,348,6468,2463,43542,,
2009,2,Eixample,7,la Dreta de l'Eixample,29955,497,18699,2832,51983,,
2009,2,Eixample,8,l'Antiga Esquerra de l'Eixample,28825,412,9801,2593,41631,,
2009,2,Eixample,9,la Nova Esquerra de l'Eixample,40288,489,9378,2878,53033,,
2009,2,Eixample,10,Sant Antoni,25444,301,5820,2095,33660,,
2009,3,Sants-Montju√Øc,11,el Poble Sec,20776,876,3924,1393,26969,,
2009,3,Sants-Montju√Øc,12,la Marina del Prat Vermell,1030,5,4647,71,5753,,
2009,3,Sants-Montju√Øc,13,la Marina de Port,17648,476,2689,608,21421,,
2009,3,Sants-Montju√Øc,14,la Font de la Guatlla,6666,90,842,430,8028,,
2009,3,Sants-Montju√Øc,15,Hostafrancs,10277,156,3324,670,14427,,
2009,3,Sants-Montju√Øc,16,la Bordeta,11403,113,1858,685,14059,,
2009,3,Sants-Montju√Øc,17,Sants - Badal,15506,196,2199,926,18827,,
2009,3,Sants-Montju√Øc,18,Sants,27582,304,5907,1816,35609,,
2009,4,Les Corts,19,les Corts,34134,348,9206,4249,47937,,
2009,4,Les Corts,20,la Maternitat i Sant Ramon,16340,110,3341,1206,20997,,
2009,4,Les Corts,21,Pedralbes,8092,222,3119,801,12234,,
2009,5,Sarri√†-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",3519,141,706,177,4543,,
2009,5,Sarri√†-Sant Gervasi,23,Sarri√†,17981,346,4503,1418,24248,,
2009,5,Sarri√†-Sant Gervasi,24,les Tres Torres,11729,247,4593,786,17355,,
2009,5,Sarri√†-Sant Gervasi,25,Sant Gervasi - la Bonanova,17083,310,6441,1379,25213,,
2009,5,Sarri√†-Sant Gervasi,26,Sant Gervasi - Galvany,34103,585,13592,2939,51219,,
2009,5,Sarri√†-Sant Gervasi,27,el Putxet i el Farr√≥,22401,382,5332,1928,30043,,
2009,6,Gr√†cia,28,Vallcarca i els Penitents,11190,156,2288,670,14304,,
2009,6,Gr√†cia,29,el Coll,5162,80,630,240,6112,,
2009,6,Gr√†cia,30,la Salut,9149,122,1672,721,11664,,
2009,6,Gr√†cia,31,la Vila de Gr√†cia,32940,477,9293,3425,46135,,
2009,6,Gr√†cia,32,el Camp d'en Grassot i Gr√†cia Nova,22780,200,3893,1716,28589,,
2009,7,Horta-Guinardó,33,el Baix Guinardó,15050,127,2562,847,18586,,
2009,7,Horta-Guinardó,34,Can Baró,5617,83,455,380,6535,,
2009,7,Horta-Guinard√≥,35,el Guinard√≥,23161,213,3837,1615,28826,,
2009,7,Horta-Guinard√≥,36,la Font d'en Fargues,7536,57,605,401,8599,,
2009,7,Horta-Guinard√≥,37,el Carmel,19670,359,1931,1016,22976,,
2009,7,Horta-Guinard√≥,38,la Teixonera,7794,134,884,273,9085,,
2009,7,Horta-Guinard√≥,39,Sant Gen√≠s dels Agudells,3605,43,766,164,4578,,
2009,7,Horta-Guinard√≥,40,Montbau,3148,32,409,60,3649,,
