CPRO,Province,13_Tot_Evict,13_Mor_Evict,13_Rent_Evict,13_Other,14_Tot_Evict,14_Mor_Evict,14_Rent_Evict,14_Other,15_Tot_Evict,15_Mor_Evict,15_Rent_Evict,15_Other,16_Tot_Evict,16_Mor_Evict,16_Rent_Evict,16_Other,17_Tot_Evict,17_Mor_Evict,17_Rent_Evict,17_Other,18_Tot_Evict,18_Mor_Evict,18_Rent_Evict,18_Other,19_Tot_Evict,19_Mor_Evict,19_Rent_Evict,19_Other
15,La Coruña,989,289,619,81,960,330,579,51,863,259,552,52,826,252,550,24,983,266,680,37,691,181,488,22,942,182,741,19
01,Álava,243,64,155,24,232,32,175,25,278,51,184,43,225,55,160,10,256,43,198,15,258,51,205,2,228,25,201,2
02,Albacete,491,205,268,18,416,178,207,31,489,242,207,40,370,151,172,47,340,135,191,14,396,130,250,16,301,88,197,16
03,Alicante,4205,2532,1530,143,4297,2782,1416,99,4217,2478,1601,138,4112,2532,1529,51,3451,1666,1706,79,3350,1395,1864,91,3184,1123,1948,113
04,Almería,853,524,293,36,1045,637,355,53,1155,730,402,23,1170,782,364,24,1448,935,492,21,1164,649,449,66,1285,736,499,50
33,Asturias,1178,301,798,79,1241,343,779,119,1228,360,814,54,1144,281,791,72,1085,283,762,40,1091,230,811,50,1000,158,777,65
05,Ávila,203,128,72,3,177,122,48,7,185,120,55,10,184,91,88,5,182,53,122,7,224,122,87,15,192,81,91,20
06,Badajoz,477,231,238,8,607,296,292,19,571,274,262,35,541,235,280,26,472,150,299,23,522,159,336,27,435,109,296,30
08,Barcelona,11101,2329,8127,645,10775,2678,7528,569,10394,2690,7251,453,9512,2330,6710,472,8951,2043,6201,707,9131,2012,6100,1019,8424,1518,5848,1058
48,Bizkaia,660,138,491,31,603,126,395,82,634,132,425,77,548,132,356,60,729,116,516,97,703,98,505,100,670,84,520,66
09,Burgos,421,110,289,22,560,167,360,33,560,206,341,13,612,198,384,30,574,195,364,15,508,139,360,9,490,93,392,5
10,Cáceres,195,57,111,27,174,66,88,20,184,83,89,12,239,99,124,16,192,69,108,15,192,76,103,13,193,47,125,21
11,Cádiz,1293,630,620,43,1493,712,734,47,1425,733,637,55,1307,669,604,34,1368,637,669,62,1395,573,778,44,1210,381,771,58
39,Cantabria,2828,815,864,93,1785,983,732,70,1985,1068,876,41,1891,928,889,74,1977,896,1027,54,1661,723,856,82,1517,562,904,51
12,Castellón,1056,610,431,15,1160,764,382,14,1186,757,414,15,1170,712,451,7,1272,731,522,19,1085,613,429,43,953,460,476,17
51,Ceuta,58,5,44,9,26,4,14,8,76,16,39,21,66,0,27,39,29,0,13,16,32,0,23,9,31,0,31,0
13,Ciudad Real,502,230,256,16,460,216,226,18,467,234,207,26,412,211,195,6,334,157,160,17,317,109,197,11,239,72,157,10
14,Córdoba,717,338,342,37,814,389,397,28,858,472,352,34,789,432,330,27,591,300,262,29,598,260,311,27,486,183,271,32
16,Cuenca,88,34,52,2,109,68,40,1,64,26,33,5,53,22,23,8,55,18,28,9,73,12,49,12,63,10,52,1
20,Gipuzkoa,248,71,167,10,251,73,156,22,235,85,139,11,187,69,116,2,211,90,120,1,230,86,137,7,145,56,85,4
17,Girona,1833,722,1050,61,1955,868,1022,65,1911,895,985,31,1930,847,1019,64,2042,823,1161,58,2120,764,1225,131,1793,499,1107,187
18,Granada,1167,563,573,31,1147,582,492,73,1408,845,485,78,1358,718,565,75,1339,690,577,72,1254,609,550,95,1078,360,651,67
19,Guadalajara,391,241,119,31,290,166,97,27,327,197,104,26,473,265,184,24,575,288,264,23,605,290,305,10,456,135,315,6
21,Huelva,479,204,237,38,608,403,194,11,582,356,214,12,584,390,184,10,750,524,192,34,528,272,245,11,426,189,224,13
22,Huesca,224,111,103,10,309,202,97,10,340,208,123,9,345,146,137,62,264,108,140,16,281,103,165,13,238,87,145,6
