ter_nom,c_barri,ter_nivell,dat_data,val_valor
el Raval  ,1,Barri,2018,771.43
el Barri Gòtic  ,2,Barri,2018,908.45
la Barceloneta  ,3,Barri,2018,767.17
"Sant Pere, Santa Caterina i la Ribera",4,Barri,2018,873.47
el Fort Pienc,5,Barri,2018,922.64
la Sagrada Família,6,Barri,2018,908.14
la Dreta de l'Eixample,7,Barri,2018,1191.65
l'Antiga Esquerra de l'Eixample,8,Barri,2018,1081.06
la Nova Esquerra de l'Eixample,9,Barri,2018,1005.48
Sant Antoni,10,Barri,2018,959.69
el Poble Sec - AEI Parc Montjuïc,11,Barri,2018,818.25
la Marina del Prat Vermell - AEI Zona Franca,12,Barri,2018,808.16
la Marina de Port,13,Barri,2018,813.77
la Font de la Guatlla,14,Barri,2018,859.26
Hostafrancs,15,Barri,2018,838.05
la Bordeta,16,Barri,2018,804.86
Sants - Badal,17,Barri,2018,825.18
Sants,18,Barri,2018,822.14
les Corts,19,Barri,2018,1043.95
la Maternitat i Sant Ramon,20,Barri,2018,1028.97
Pedralbes,21,Barri,2018,1719.74
"Vallvidrera, el Tibidabo i les Planes",22,Barri,2018,967.51
Sarrià,23,Barri,2018,1389.21
les Tres Torres,24,Barri,2018,1667.37
Sant Gervasi - la Bonanova,25,Barri,2018,1293.98
Sant Gervasi - Galvany,26,Barri,2018,1362.47
el Putxet i el Farró,27,Barri,2018,997.93
Vallcarca i els Penitents,28,Barri,2018,777.8
el Coll,29,Barri,2018,770.16
la Salut,30,Barri,2018,781.23
la Vila de Gràcia,31,Barri,2018,934.1
el Camp d'en Grassot i Gràcia Nova,32,Barri,2018,913.44
el Baix Guinardó,33,Barri,2018,866.02
Can Baró,34,Barri,2018,723.57
el Guinardó,35,Barri,2018,775.38
la Font d'en Fargues,36,Barri,2018,753.04
el Carmel,37,Barri,2018,701.09
la Teixonera,38,Barri,2018,694.4
Sant Genís dels Agudells,39,Barri,2018,676.41
Montbau,40,Barri,2018,773.05
la Vall d'Hebron,41,Barri,2018,875.01
Horta,43,Barri,2018,735.94
Vilapicina i la Torre Llobeta,44,Barri,2018,778.72
Porta,45,Barri,2018,750.38
el Turó de la Peira,46,Barri,2018,730.4
Can Peguera,47,Barri,2018,730.4
la Guineueta,48,Barri,2018,718.87
les Roquetes,50,Barri,2018,630.44
Verdun,51,Barri,2018,718.18
la Prosperitat,52,Barri,2018,689.14
la Trinitat Nova,53,Barri,2018,642.63
Ciutat Meridiana,55,Barri,2018,618.68
la Trinitat Vella,57,Barri,2018,678.55
el Bon Pastor,59,Barri,2018,713.09
Sant Andreu,60,Barri,2018,769.29
la Sagrera,61,Barri,2018,821.73
el Congrés i els Indians,62,Barri,2018,816.52
Navas,63,Barri,2018,846.55
el Camp de l'Arpa del Clot,64,Barri,2018,791.52
el Clot,65,Barri,2018,849.64
el Parc i la Llacuna del Poblenou,66,Barri,2018,1020.25
la Vila Olímpica del Poblenou,67,Barri,2018,1402.6
el Poblenou,68,Barri,2018,867.29
Diagonal Mar i el Front Marítim del Poblenou,69,Barri,2018,927.74
el Besòs i el Maresme,70,Barri,2018,751.59
Provençals del Poblenou,71,Barri,2018,951.67
Sant Martí de Provençals,72,Barri,2018,780
la Verneda i la Pau,73,Barri,2018,758.35
