id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8665980,Lancaster suit,8940900,,Ciutat Vella,el Raval,41.3769810753873,2.17476275412851,Entire home/apt,100,100,4,2015-11-01,1.32,1,363
732616,Big apartment near Plaza Catalunya,2967830,Mr. Dani P.R.,Ciutat Vella,el Raval,41.38470975871140,2.165463716864520,Entire home/apt,175,3,12,2015-09-18,0.37,4,357
8894189,Big Room Best Location of Barcelona,6981341,Leonardo Miguel,Ciutat Vella,el Raval,41.38413586046680,2.1704485171840100,Private room,30,2,1,2015-11-16,0.61,1,215
2284413,Ramblas for Comfort 2A,9786902,Penélope,Ciutat Vella,el Raval,41.38016668386920,2.1734034378966000,Entire home/apt,95,2,43,2015-12-16,2.03,4,54
2411575,Cozy sunny apt. in the heart of BCN,4193907,Julia,Ciutat Vella,el Raval,41.382677044049900,2.166005329657390,Private room,40,2,54,2015-12-31,2.57,2,324
10205997,RAMBLAS (100m) - Cozy Flat+Balcony,23737511,Vlc,Ciutat Vella,el Raval,41.37781732014630,2.175862214866520,Entire home/apt,95,2,0,,,2,90
2247805,Super Cozy room in center Barcelona,11392371,Dina,Ciutat Vella,el Raval,41.37939940778420,2.16903998577311,Private room,20,1,63,2015-12-19,2.70,2,33
10079400,NICE APARTMENT IN RAVAL.,51719944,Franco,Ciutat Vella,el Raval,41.37943258197710,2.1684586699235700,Entire home/apt,40,2,0,,,1,327
5001178,Cozy bedroom in city centre,4816047,Aleona,Ciutat Vella,el Raval,41.38381952802870,2.164718868009050,Private room,30,2,6,2015-10-05,0.62,2,335
4377897,Gòtic getaway,15512663,,Ciutat Vella,el Raval,41.37980689000970,2.174466034401780,Private room,40,2,14,2015-10-03,1.42,1,364
948851,UNIQUE  PALAZZO w/ Garden CENTER,5144517,Fernando,Ciutat Vella,el Raval,41.37992710488820,2.1664583962639000,Entire home/apt,169,1,137,2015-12-16,4.18,2,301
7098347,Bright brand new Apt Rambla Raval,1893978,Tizz,Ciutat Vella,el Raval,41.3798577765438,2.1711808665649300,Entire home/apt,120,4,3,2015-12-27,0.58,2,22
8768943,Comfy room in the city center,30978272,Andreea,Ciutat Vella,el Raval,41.3775320786409,2.1670152794143100,Private room,25,1,0,,,1,89
9063859,casa Luis barcelona room for 6 per.,42906962,Luis,Ciutat Vella,el Raval,41.38155478425490,2.1704746444435600,Private room,100,2,1,2015-11-01,0.47,10,313
7458255,Room for one in El Gótico,26594916,Angelnex&Louise,Ciutat Vella,el Raval,41.38279666877750,2.1717319284933400,Private room,35,1,10,2015-12-31,2.00,1,90
8113630,I'm renting a double room,42843520,,Ciutat Vella,el Raval,41.380562412690200,2.1701484042307000,Private room,45,1,0,,,1,364
2322536,Great Apartment -  5 min to Ramblas,11862722,,Ciutat Vella,el Raval,41.38167877963200,2.1694929965492300,Entire home/apt,35,1,91,2015-12-16,4.05,1,317
5392344,«SUITE PRINCESS» & SUNNY GARDEN• 5★,4959266,Ivann,Ciutat Vella,el Raval,41.37492718110430,2.1757375129461900,Entire home/apt,199,3,2,2015-07-09,0.32,7,118
